freq,s_adj,age,sex,unit,geo\TIME_PERIOD	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 	2023-07 	2023-08 	2023-09 	2023-10 	2023-11 	2023-12 
M,SA,TOTAL,F,PC_ACT,AT	5.1 	4.9 	4.0 	5.0 	4.6 	5.0 	5.6 	5.1 	5.0 	4.5 	4.4 	: 
M,SA,TOTAL,F,PC_ACT,BE	5.0 	4.9 	4.9 	4.9 	5.0 	4.9 	4.8 	4.7 	5.0 	5.2 	5.2 	: 
M,SA,TOTAL,F,PC_ACT,BG	3.8 	3.9 	4.1 	4.3 	4.4 	4.5 	4.4 	4.3 	4.2 	4.1 	4.0 	: 
M,SA,TOTAL,F,PC_ACT,CH	4.4 	4.3 	4.3 	4.1 	4.1 	4.2 	4.3 	4.4 	4.5 	: 	: 	: 
M,SA,TOTAL,F,PC_ACT,CY	7.6 	7.2 	6.6 	6.2 	6.0 	5.9 	5.9 	5.7 	5.5 	5.4 	5.2 	: 
M,SA,TOTAL,F,PC_ACT,CZ	3.0 	2.9 	3.1 	3.4 	2.9 	3.1 	3.5 	3.0 	3.0 	3.6 	3.0 	: 
M,SA,TOTAL,F,PC_ACT,DE	2.8 	2.8 	2.7 	2.7 	2.7 	2.7 	2.8 	2.8 	2.8 	2.8 	2.8 	: 
M,SA,TOTAL,F,PC_ACT,DK	4.5 	5.0 	4.9 	4.9 	4.6 	5.1 	5.7 	5.0 	4.9 	5.7 	5.6 	: 
M,SA,TOTAL,F,PC_ACT,EA20	7.1 	7.0 	6.9 	6.9 	6.9 	6.8 	6.9 	6.8 	6.9 	6.9 	6.8 	: 
M,SA,TOTAL,F,PC_ACT,EE	5.1 	5.0 	5.6 	6.2 	7.2 	7.4 	7.8 	7.7 	7.1 	6.4 	6.4 	: 
M,SA,TOTAL,F,PC_ACT,EL	15.1 	15.5 	14.9 	15.1 	14.7 	14.1 	14.0 	13.6 	12.7 	11.7 	11.7 	: 
M,SA,TOTAL,F,PC_ACT,ES	14.8 	14.7 	14.3 	13.8 	13.6 	13.5 	13.6 	13.6 	13.6 	13.7 	13.6 	: 
M,SA,TOTAL,F,PC_ACT,EU27_2020	6.4 	6.4 	6.3 	6.3 	6.3 	6.3 	6.4 	6.3 	6.3 	6.3 	6.2 	: 
M,SA,TOTAL,F,PC_ACT,FI	6.9 	5.8 	5.7 	7.0 	6.3 	6.0 	6.7 	6.4 	6.7 	7.1 	6.6 	: 
M,SA,TOTAL,F,PC_ACT,FR	6.8 	6.8 	6.9 	7.1 	7.2 	7.3 	7.4 	7.4 	7.3 	7.3 	7.3 	: 
